General names,Domestic Common Name,Scientific Name,Other name
alpaca,alpaca,Vicugna pacos,
camel,Arabian camel,Camelus dromedarius,dromedary
cat,cat,Felis catus,
cattle,cow,Bos taurus,
chicken,chicken,Gallus gallus domesticus,
dog,dog,Canis lupus familiaris,
duck,mallard,Anas platyrhynchos domesticus,
goat,goat,Capra aegagrus hircus,Peking
goat,cashmere goat,Capra hircus laniger,
goose,goose,Anser anser domesticus,
goose,swan goose,Anser cygnoides domesticus,
horse,horse,Equus ferus caballus,
llama,llama,Lama glama,
pigeon,pigeon,Columba livia domestica,
sheep,sheep,Ovis aries,
swine,pig,Sus scrofa domesticus,hog
